,IP,Time,URL,Status,month,day,Methods,URL_new
14753,10.128.2.1,19/Feb/2018,GET /home.php HTTP/1.1,302,Feb,19,GET ,home.php HTTP
14754,10.128.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14755,10.128.2.1,19/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,19,GET ,css
14756,10.128.2.1,19/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,19,GET ,css
14757,10.131.0.1,19/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,19,GET ,css
14758,10.128.2.1,19/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,19,GET ,css
14759,10.131.0.1,19/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,19,GET ,js
14760,10.130.2.1,19/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,19,GET ,css
14761,10.128.2.1,19/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,19,GET ,js
14762,10.131.0.1,19/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,19,GET ,bootstrap-3.3.7
14763,10.128.2.1,19/Feb/2018,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Feb,19,GET ,fonts
14764,10.128.2.1,19/Feb/2018,GET /img/ruet.png HTTP/1.1,200,Feb,19,GET ,img
14765,10.128.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14766,10.128.2.1,19/Feb/2018,GET /sign.php HTTP/1.1,200,Feb,19,GET ,sign.php HTTP
14767,10.128.2.1,19/Feb/2018,GET /archive.php HTTP/1.1,302,Feb,19,GET ,archive.php HTTP
14768,10.128.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14769,10.128.2.1,19/Feb/2018,GET /sign.php HTTP/1.1,200,Feb,19,GET ,sign.php HTTP
14770,10.128.2.1,19/Feb/2018,POST /action.php HTTP/1.1,302,Feb,19,POST ,action.php HTTP
14771,10.130.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14772,10.130.2.1,19/Feb/2018,POST /process.php HTTP/1.1,302,Feb,19,POST ,process.php HTTP
14773,10.130.2.1,19/Feb/2018,GET /archive.php HTTP/1.1,200,Feb,19,GET ,archive.php HTTP
14774,10.130.2.1,19/Feb/2018,GET /js/vendor/moment.min.js HTTP/1.1,200,Feb,19,GET ,js
14775,[Mon,Feb,52:06.9,2018],,Fe,52:06.9,
14776,[Mon,Feb,52:06.9,2018],,Fe,52:06.9,
14777,[Mon,Feb,52:06.9,2018],,Fe,52:06.9,
14778,[Mon,Feb,52:06.9,2018],,Fe,52:06.9,
14779,[Mon,Feb,52:06.9,2018],,Fe,52:06.9,
14780,10.130.2.1,19/Feb/2018,GET /compiler.php HTTP/1.1,200,Feb,19,GET ,compiler.php HTTP
14781,chmod:,cannot,'error.txt':,No,not,ca,'error.txt':,
14782,chmod:,cannot,'a.out':,No,not,ca,'a.out':,
14783,rm:,cannot,'*.o':,No,not,ca,'*.o':,
14784,rm:,cannot,'a.out':,No,not,ca,'a.out':,
14785,10.130.2.1,19/Feb/2018,POST /compile.php HTTP/1.1,200,Feb,19,POST ,compile.php HTTP
14786,10.128.2.1,19/Feb/2018,GET / HTTP/1.1,302,Feb,19,GET , HTTP
14787,10.128.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14788,10.130.2.1,20/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,20,GET ,robots.txt HTTP
14789,10.128.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14790,10.130.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14791,10.128.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14792,10.130.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14793,10.128.2.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14794,10.128.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14795,10.128.2.1,20/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,304,Feb,20,GET ,css
14796,10.128.2.1,20/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,304,Feb,20,GET ,css
14797,10.128.2.1,20/Feb/2018,GET /css/normalize.css HTTP/1.1,304,Feb,20,GET ,css
14798,10.128.2.1,20/Feb/2018,GET /css/main.css HTTP/1.1,304,Feb,20,GET ,css
14799,10.128.2.1,20/Feb/2018,GET /css/style.css HTTP/1.1,304,Feb,20,GET ,css
14800,10.131.0.1,20/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,304,Feb,20,GET ,js
14801,10.128.2.1,20/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304,Feb,20,GET ,js
14802,10.130.2.1,20/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,304,Feb,20,GET ,bootstrap-3.3.7
14803,10.128.2.1,20/Feb/2018,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Feb,20,GET ,fonts
14804,10.128.2.1,20/Feb/2018,POST /process.php HTTP/1.1,302,Feb,20,POST ,process.php HTTP
14805,10.128.2.1,20/Feb/2018,GET /home.php HTTP/1.1,200,Feb,20,GET ,home.php HTTP
14806,10.131.0.1,20/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Feb,20,GET ,bootstrap-3.3.7
14807,10.128.2.1,20/Feb/2018,GET /js/vendor/moment.min.js HTTP/1.1,304,Feb,20,GET ,js
14808,[Tue,Feb,24:12.8,2018],,Fe,24:12.8,
14809,[Tue,Feb,24:12.8,2018],,Fe,24:12.8,
14810,[Tue,Feb,24:12.8,2018],,Fe,24:12.8,
14811,[Tue,Feb,24:12.8,2018],,Fe,24:12.8,
14812,[Tue,Feb,24:12.8,2018],,Fe,24:12.8,
14813,10.131.0.1,20/Feb/2018,GET /compiler.php HTTP/1.1,200,Feb,20,GET ,compiler.php HTTP
14814,10.131.0.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14815,10.130.2.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14816,10.128.2.1,20/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,20,GET ,css
14817,10.130.2.1,20/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,20,GET ,css
14818,10.130.2.1,20/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,20,GET ,css
14819,10.130.2.1,20/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,20,GET ,css
14820,10.130.2.1,20/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,20,GET ,css
14821,10.131.0.1,20/Feb/2018,GET / HTTP/1.1,302,Feb,20,GET , HTTP
14822,10.131.0.1,20/Feb/2018,GET /login.php HTTP/1.1,200,Feb,20,GET ,login.php HTTP
14823,10.131.0.1,20/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,20,GET ,css
